Statement,Link,Date, Source, Label
After Joe Biden became vice president^ at the behest of his father^ he gave his uncle^ Frank H. Biden^ a Purple Heart for serving in the U.S. military during World War II.,https://www.politifact.com/factchecks/2022/dec/20/joe-biden/no-evidence-support-joe-bidens-anecdote-about-givi/,mber 20^ 2022,Joe Biden,false
Says he has been to “Afghanistan^ Iraq and those areas” twice as president.,https://www.politifact.com/factchecks/2022/dec/20/joe-biden/despite-his-claim-joe-biden-has-not-visited-afghan/,mber 20^ 2022,Joe Biden,false
“Literally five (homeless) people a day die on our streets” in the city of Los Angeles.,https://www.politifact.com/factchecks/2022/dec/20/karen-bass/los-angeles-mayor-karen-bass-conflates-county-city/,mber 20^ 2022,Karen Bass,mostly-true
Luana Stoltenberg “originally LOST her race for Iowa State House when Machines declared the Democrat the Winner.”,https://www.politifact.com/factchecks/2022/dec/20/kari-lake/sorting-through-confusing-recounts-iowa-state-hous/,mber 20^ 2022,Kari Lake,half-true
Tesla launched a cryptocurrency platform that “aims to help families become wealthier.”,https://www.politifact.com/factchecks/2022/dec/20/blog-posting/no-tesla-didnt-launch-this-cryptocurrency-trading/,mber 20^ 2022,Bloggers,false
A video shows Rep. Matt Gaetz threatening Robert Mueller with jail time.,https://www.politifact.com/factchecks/2022/dec/20/facebook-posts/no-video-doesnt-show-matt-gaetz-threatening-robert/,mber 20^ 2022,Facebook posts,false
Elon Musk said^ “I predict that I will buy tomorrow the entire Meta company.”,https://www.politifact.com/factchecks/2022/dec/20/instagram-posts/altered-video-appears-to-show-elon-musk-saying-hel/,mber 20^ 2022,Instagram posts,false
People who stole U.S. Postal Service uniforms are posing as postal workers and robbing people at gunpoint.,https://www.politifact.com/factchecks/2022/dec/20/facebook-posts/no-evidence-fake-postal-workers-are-robbing-people/,mber 20^ 2022,Facebook posts,false
“The FDA finally came out and said that Pfizer’s COVID shot causes blood clots.”,https://www.politifact.com/factchecks/2022/dec/20/instagram-posts/no-fda-did-not-say-pfizer-covid-19-vaccine-causes/,mber 20^ 2022,Instagram posts,false
“The Simpsons predicted Pizzagate.”,https://www.politifact.com/factchecks/2022/dec/20/viral-image/the-simpsons-didnt-predict-pizzagate/,mber 20^ 2022,Viral image,pants-fire
A video shows Jim Jordan saying the 2020 “election was stolen.”,https://www.politifact.com/factchecks/2022/dec/20/facebook-posts/video-shows-jim-jordan-denying-he-said-election-wa/,mber 20^ 2022,Facebook posts,false
A video shows migrants faking tears for news cameras.,https://www.politifact.com/factchecks/2022/dec/20/facebook-posts/video-shows-migrants-reacting-after-authorities-fi/,mber 20^ 2022,Facebook posts,false
Elon Musk said^ “In some parts of the world^ journalists get murdered for crossing the wrong people.”,https://www.politifact.com/factchecks/2022/dec/20/viral-image/no-this-isnt-a-real-elon-musk-tweet-about-journali/,mber 20^ 2022,Viral image,false
“My commitment to free speech extends even to not banning the account following my plane^ even though that is a direct personal safety risk.”,https://www.politifact.com/factchecks/2022/dec/19/elon-musk/elon-musk-said-he-wouldnt-ban-the-twitter-account/,mber 19^ 2022,Elon Musk,full-flop
